columnName,group1,group2,group3,group4,comments
ALT_16,SURVEY,PERSON,PREFERENCE,,
ALT_23,SURVEY,PERSON,PREFERENCE,,
ALT_45,SURVEY,PERSON,PREFERENCE,,
BIKE,SURVEY,HOUSEHOLD,PREFERENCE,,
BIKE_DFR,SURVEY,PERSON,PREFERENCE,,
BIKE_GKP,SURVEY,PERSON,PREFERENCE,,
BIKE2SAVE,SURVEY,HOUSEHOLD,PREFERENCE,,
BIKE4EX,SURVEY,PERSON,PREFERENCE,,
BIKESHARE,SURVEY,PERSON,PREFERENCE,,
BORNINUS,SURVEY,PERSON,ORIGIN,,
BUS,SURVEY,HOUSEHOLD,PREFERENCE,,
CAR,SURVEY,HOUSEHOLD,PREFERENCE,,
CARRODE,SURVEY,PERSON,PREFERENCE,,
CARSHARE,SURVEY,PERSON,PREFERENCE,,
CDIVMSAR,SURVEY,HOUSEHOLD,HOME AREA,,
CENSUS_D,SURVEY,HOUSEHOLD,HOME AREA,,
CENSUS_R,SURVEY,HOUSEHOLD,HOME AREA,,
CNTTDHH,SURVEY,HOUSEHOLD,PREFERENCE,,
CNTTDTR,SURVEY,PERSON,PREFERENCE,,
CONDNIGH,SURVEY,PERSON,MEDICAL,,
CONDPUB,SURVEY,PERSON,MEDICAL,,
CONDRIDE,SURVEY,PERSON,MEDICAL,,
CONDRIVE,SURVEY,PERSON,MEDICAL,,
CONDSPEC,SURVEY,PERSON,MEDICAL,,
CONDTAX,SURVEY,PERSON,MEDICAL,,
CONDTRAV,SURVEY,PERSON,MEDICAL,,
DBHTNRNT,SURVEY,JOURNEY,DESTINATION AREA,,
DBHUR,SURVEY,JOURNEY,DESTINATION AREA,,
DBPPOPDN,SURVEY,JOURNEY,DESTINATION AREA,,
DBRESDN,SURVEY,JOURNEY,DESTINATION AREA,,
DELIVER,SURVEY,PERSON,HABITS,,
DIARY,SURVEY,PERSON,,,
DISTTOSC17,SURVEY,PERSON,HOME AREA,,
DISTTOWK17,SURVEY,PERSON,HOME AREA,,
DRIVER,SURVEY,PERSON,DRIVER,,
DROP_PRK,SURVEY,JOURNEY,PT FEATURES,,
