columnNames,group1,group2,group3,group4
ID,DROP,,,
DestAct,SURVEY,JOURNEY,,
NbTransf,LOS,PT FEATURES,,
TimePT,LOS,DURATION,,
WalkingTimePT,LOS,PT FEATURES,,
WaitingTimePT,LOS,PT FEATURES,,
CostPT,LOS,COST,,
CostCar,LOS,COST,,
TimeCar,LOS,DURATION,,
NbHousehold,SURVEY,HOUSEHOLD,PERSON COUNT,
NbChild,SURVEY,HOUSEHOLD,PERSON COUNT,
NbCar,SURVEY,HOUSEHOLD,POSSESIONS,
NbMoto,SURVEY,HOUSEHOLD,POSSESIONS,
NbBicy,SURVEY,HOUSEHOLD,POSSESIONS,
NbBicyChild,SURVEY,HOUSEHOLD,POSSESIONS,
NbComp,SURVEY,HOUSEHOLD,POSSESIONS,
NbTV,SURVEY,HOUSEHOLD,POSSESIONS,
Internet,SURVEY,HOUSEHOLD,POSSESIONS,
NewsPaperSubs,SURVEY,HOUSEHOLD,POSSESIONS,
NbCellPhones,SURVEY,HOUSEHOLD,POSSESIONS,
NbSmartPhone,SURVEY,HOUSEHOLD,POSSESIONS,
HouseType,SURVEY,HOUSEHOLD,POSSESIONS,
OwnHouse,SURVEY,HOUSEHOLD,POSSESIONS,
NbRoomsHouse,SURVEY,HOUSEHOLD,POSSESIONS,
YearsInHouse,SURVEY,HOUSEHOLD,HISTORY,
Income,SURVEY,HOUSEHOLD,POSSESIONS,
Gender,SURVEY,RESPONDENT,,
BirthYear,SURVEY,RESPONDENT,,
Mothertongue,SURVEY,RESPONDENT,,
FamilSitu,SURVEY,RESPONDENT,,
OccupStat,SURVEY,RESPONDENT,,
SocioProfCat,SURVEY,RESPONDENT,,
CalculatedIncome,DROP,,,
Education,SURVEY,RESPONDENT,,
HalfFareST,SURVEY,RESPONDENT,LONG TERM TICKETS,
LineRelST,SURVEY,RESPONDENT,LONG TERM TICKETS,
GenAbST,SURVEY,RESPONDENT,LONG TERM TICKETS,
AreaRelST,SURVEY,RESPONDENT,LONG TERM TICKETS,
OtherST,SURVEY,RESPONDENT,LONG TERM TICKETS,
CarAvail,SURVEY,RESPONDENT,POSSESIONS,
MarginalCostPT,LOS,COST,,
CostCarCHF,LOS,COST,,
Envir01,SURVEY,ECOLOGY OPINIONS,,
Envir02,SURVEY,ECOLOGY OPINIONS,,
Envir03,SURVEY,ECOLOGY OPINIONS,,
Envir04,SURVEY,ECOLOGY OPINIONS,,
Envir05,SURVEY,ECOLOGY OPINIONS,,
Envir06,SURVEY,ECOLOGY OPINIONS,,
Mobil01,SURVEY,TRANSPORT OPINIONS,,
Mobil02,SURVEY,TRANSPORT OPINIONS,,
Mobil03,SURVEY,TRANSPORT OPINIONS,,
Mobil04,SURVEY,TRANSPORT OPINIONS,,
Mobil05,SURVEY,TRANSPORT OPINIONS,,
Mobil06,SURVEY,TRANSPORT OPINIONS,,
Mobil07,SURVEY,TRANSPORT OPINIONS,,
Mobil08,SURVEY,TRANSPORT OPINIONS,,
Mobil09,SURVEY,TRANSPORT OPINIONS,,
Mobil10,SURVEY,TRANSPORT OPINIONS,,
Mobil11,SURVEY,TRANSPORT OPINIONS,,
Mobil12,SURVEY,TRANSPORT OPINIONS,,
Mobil13,SURVEY,TRANSPORT OPINIONS,,
Mobil14,SURVEY,TRANSPORT OPINIONS,,
Mobil15,SURVEY,TRANSPORT OPINIONS,,
Mobil16,SURVEY,TRANSPORT OPINIONS,,
Mobil17,SURVEY,TRANSPORT OPINIONS,,
Mobil18,SURVEY,TRANSPORT OPINIONS,,
Mobil19,SURVEY,TRANSPORT OPINIONS,,
Mobil20,SURVEY,TRANSPORT OPINIONS,,
Mobil21,SURVEY,TRANSPORT OPINIONS,,
Mobil22,SURVEY,TRANSPORT OPINIONS,,
Mobil23,SURVEY,TRANSPORT OPINIONS,,
Mobil24,SURVEY,TRANSPORT OPINIONS,,
Mobil25,SURVEY,TRANSPORT OPINIONS,,
Mobil26,SURVEY,TRANSPORT OPINIONS,,
Mobil27,SURVEY,TRANSPORT OPINIONS,,
ResidCh01,SURVEY,NEIGHBOURHOOD OPINIONS,,
ResidCh02,SURVEY,NEIGHBOURHOOD OPINIONS,,
ResidCh03,SURVEY,NEIGHBOURHOOD OPINIONS,,
ResidCh04,SURVEY,NEIGHBOURHOOD OPINIONS,,
ResidCh05,SURVEY,NEIGHBOURHOOD OPINIONS,,
ResidCh06,SURVEY,NEIGHBOURHOOD OPINIONS,,
ResidCh07,SURVEY,NEIGHBOURHOOD OPINIONS,,
LifSty01,SURVEY,LIFESTYLE OPINIONS,,
LifSty02,SURVEY,LIFESTYLE OPINIONS,,
LifSty03,SURVEY,LIFESTYLE OPINIONS,,
LifSty04,SURVEY,LIFESTYLE OPINIONS,,
LifSty05,SURVEY,LIFESTYLE OPINIONS,,
LifSty06,SURVEY,LIFESTYLE OPINIONS,,
LifSty07,SURVEY,LIFESTYLE OPINIONS,,
LifSty08,SURVEY,LIFESTYLE OPINIONS,,
LifSty09,SURVEY,LIFESTYLE OPINIONS,,
LifSty10,SURVEY,LIFESTYLE OPINIONS,,
LifSty11,SURVEY,LIFESTYLE OPINIONS,,
LifSty12,SURVEY,LIFESTYLE OPINIONS,,
LifSty13,SURVEY,LIFESTYLE OPINIONS,,
LifSty14,SURVEY,LIFESTYLE OPINIONS,,
TripPurpose,SURVEY,JOURNEY,,
TypeCommune,SURVEY,NEIGHBOURHOOD,,
UrbRur,SURVEY,NEIGHBOURHOOD,,
LangCode,SURVEY,RESPONDENT,,
ClassifCodeLine,LOS,PT FEATURES,,
frequency,LOS,PT FEATURES,,
ResidChild,SURVEY,CHILDHOOD,,
NbTrajects,SURVEY,JOURNEY,,
FreqCarPar,SURVEY,CHILDHOOD,,
FreqTrainPar,SURVEY,CHILDHOOD,,
FreqOtherPar,SURVEY,CHILDHOOD,,
FreqTripHouseh,SURVEY,CHILDHOOD,,
